,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,31,1987,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Aday\Aday,es ESP,DFMF,Girona,30,1987,10,8,645,0,2,0,0,2,0,0,0.28,0.28,0,0.28,0.2,0.2,0.8,0.03,0.11,0.14,0.03,0.14,Matches
3,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,37,1981,20,10,943,2,0,2,2,5,0,0.19,0,0.19,0,0,3.3,1.8,0.4,0.32,0.04,0.36,0.17,0.21,Matches
4,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,28,1990,28,27,2389,1,3,0,0,6,2,0.04,0.11,0.15,0.04,0.15,0.9,0.9,1.9,0.03,0.07,0.1,0.03,0.1,Matches
5,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,22,1996,27,23,2032,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.02,0.02,0.01,0.02,Matches
6,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,32,1985,6,4,344,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.13,0.01,0.15,0.13,0.15,Matches
7,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,25,1993,13,12,1023,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.3,0.03,0.03,0.06,0.03,0.06,Matches
8,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,2,180,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.1,0,0.03,0.03,0,0.03,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,29,1989,36,32,2991,2,8,0,0,6,0,0.06,0.24,0.3,0.06,0.3,1.8,1.8,5.1,0.05,0.15,0.21,0.05,0.21,Matches
10,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,29,1989,25,20,1868,1,1,0,0,9,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.3,0.04,0.02,0.06,0.04,0.06,Matches
11,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,27,1991,34,34,2976,3,2,0,1,13,0,0.09,0.06,0.15,0.09,0.15,3.3,2.6,1.3,0.1,0.04,0.14,0.08,0.12,Matches
12,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,25,1992,9,0,140,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.15,0.17,0.32,0.15,0.32,Matches
13,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,23,1995,4,2,146,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0.1,0.04,0.09,0.13,0.04,0.13,Matches
14,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,20,1998,17,6,637,2,0,0,0,2,0,0.28,0,0.28,0.28,0.28,1.5,1.5,0.7,0.21,0.09,0.3,0.21,0.3,Matches
15,Alexander\Alexander,ar ARG,DF,Leganés,29,1988,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,25,1993,9,6,536,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.06,0.04,0.1,0.06,0.1,Matches
17,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,31,1986,13,13,1170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,26,1992,19,12,1069,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.02,0,0.02,0.02,0.02,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,23,1995,30,30,2613,0,0,0,0,10,0,0,0,0,0,0,1.4,1,0,0.05,0,0.05,0.04,0.04,Matches
20,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,25,1993,17,7,762,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.1,0.09,0.01,0.1,0.09,0.1,Matches
21,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,26,1992,31,31,2763,0,0,0,0,9,0,0,0,0,0,0,0.7,0.7,0.1,0.02,0,0.03,0.02,0.03,Matches
22,Amath\Amath,sn SEN,MFFW,Getafe,22,1996,15,13,1002,1,2,0,0,4,0,0.09,0.18,0.27,0.09,0.27,1.6,1.6,0.7,0.14,0.07,0.21,0.14,0.21,Matches
23,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,34,1984,11,11,990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,28,1989,35,34,3028,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,0.02,0.11,0.13,0.02,0.13,Matches
25,Antoñito\Antonito,es ESP,DFMF,Valladolid,30,1987,30,18,1863,2,1,0,0,5,0,0.1,0.05,0.14,0.1,0.14,1,1,1.9,0.05,0.09,0.14,0.05,0.14,Matches
26,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,31,1987,28,25,2181,1,3,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.7,0.04,0.11,0.15,0.04,0.15,Matches
27,Anuar\Anuar,ma MAR,MF,Valladolid,23,1995,19,12,1081,1,0,0,0,6,0,0.08,0,0.08,0.08,0.08,2.6,2.6,0.1,0.22,0.01,0.23,0.22,0.23,Matches
28,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,21,1996,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.43,0.43,0,0.43,Matches
29,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,22,1995,33,32,2676,1,2,0,0,8,0,0.03,0.07,0.1,0.03,0.1,1.4,1.4,1.6,0.05,0.05,0.1,0.05,0.1,Matches
30,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,21,1997,9,8,629,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.03,0.02,0.04,0.03,0.04,Matches
31,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,26,1991,32,30,2682,3,0,0,0,3,1,0.1,0,0.1,0.1,0.1,1.7,1.7,0.3,0.06,0.01,0.07,0.06,0.07,Matches
32,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,31,1987,25,22,1950,1,2,0,0,6,1,0.05,0.09,0.14,0.05,0.14,0.8,0.8,0.4,0.04,0.02,0.06,0.04,0.06,Matches
33,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,26,1992,25,20,1772,1,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,0.4,0.4,1,0.02,0.05,0.07,0.02,0.07,Matches
34,José Arnaiz\Jose-Arnaiz,es ESP,DFMF,Leganés,23,1995,6,0,113,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.08,0.14,0.05,0.14,Matches
35,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,29,1989,32,32,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,22,1996,30,19,1779,1,4,0,0,3,0,0.05,0.2,0.25,0.05,0.25,4.4,4.4,4,0.22,0.2,0.43,0.22,0.43,Matches
37,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,30,1987,27,26,2251,20,6,5,5,5,0,0.8,0.24,1.04,0.6,0.84,13.2,9.4,5.4,0.53,0.21,0.74,0.37,0.59,Matches
38,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Huesca,24,1994,34,20,1997,10,2,1,1,12,1,0.45,0.09,0.54,0.41,0.5,6.7,5.9,2.7,0.3,0.12,0.42,0.27,0.39,Matches
39,Abdoulaye Ba\Abdoulaye-Ba,sn SEN,DF,Rayo Vallecano,27,1991,26,25,2110,1,0,0,0,4,2,0.04,0,0.04,0.04,0.04,1.2,1.2,0,0.05,0,0.05,0.05,0.05,Matches
40,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,31,1986,33,12,1270,6,1,1,1,3,0,0.43,0.07,0.5,0.35,0.43,5.7,5,2.2,0.41,0.16,0.56,0.35,0.51,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Real Madrid,29,1989,29,21,1786,8,3,1,1,4,0,0.4,0.15,0.55,0.35,0.5,8.3,7.6,2.3,0.42,0.12,0.53,0.38,0.5,Matches
42,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,30,1988,11,6,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.07,0.08,0,0.08,Matches
43,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,30,1988,32,32,2667,3,5,2,2,17,2,0.1,0.17,0.27,0.03,0.2,3.2,1.7,3.4,0.11,0.11,0.22,0.06,0.17,Matches
44,Léo Baptistão\Leo-Baptistao,br BRA,FWMF,Espanyol,25,1992,20,14,1233,2,2,1,1,3,0,0.15,0.15,0.29,0.07,0.22,4.7,4,2.7,0.35,0.2,0.54,0.29,0.49,Matches
45,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,23,1995,36,31,2836,3,4,0,0,6,0,0.1,0.13,0.22,0.1,0.22,3.7,3.7,2.8,0.12,0.09,0.21,0.12,0.21,Matches
46,Antonio Barragán\Antonio-Barragan,es ESP,DFMF,Betis,31,1987,14,12,934,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.8,0.02,0.07,0.09,0.02,0.09,Matches
47,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,16,2001,9,5,399,1,0,0,0,0,0,0.23,0,0.23,0.23,0.23,0.4,0.4,0.6,0.08,0.14,0.22,0.08,0.22,Matches
48,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,27,1991,33,33,2928,1,0,0,0,4,0,0.03,0,0.03,0.03,0.03,0.7,0.7,0.3,0.02,0.01,0.03,0.02,0.03,Matches
49,Borja Bastón\Borja-Baston,es ESP,FW,Alavés,25,1992,27,18,1439,5,1,0,0,4,0,0.31,0.06,0.38,0.31,0.38,5.7,5.7,1.1,0.35,0.07,0.42,0.35,0.42,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Valencia,24,1993,15,4,527,1,0,0,0,3,0,0.17,0,0.17,0.17,0.17,2.3,2.3,0.7,0.39,0.12,0.5,0.39,0.5,Matches
51,Jon Bautista\Jon-Bautista,es ESP,FW,Real Sociedad,23,1995,18,4,597,1,0,0,0,1,0,0.15,0,0.15,0.15,0.15,2.5,2.5,0.1,0.37,0.02,0.39,0.37,0.39,Matches
52,Bebé\Bebe,pt POR,FWMF,Rayo Vallecano,28,1990,27,13,1302,1,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14,1.7,1.7,2.3,0.12,0.16,0.27,0.12,0.27,Matches
53,Bebé\Bebe,pt POR,MF,Eibar,28,1990,2,1,62,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.28,0.36,0.64,0.28,0.64,Matches
54,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,19,1999,30,16,1517,1,0,0,0,3,0,0.06,0,0.06,0.06,0.06,0.8,0.8,0.7,0.05,0.04,0.09,0.05,0.09,Matches
55,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,27,1990,35,31,2812,18,9,2,2,3,0,0.58,0.29,0.86,0.51,0.8,17.6,16,6.6,0.56,0.21,0.77,0.51,0.73,Matches
56,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,30,1987,36,35,2953,21,6,3,3,1,0,0.64,0.18,0.82,0.55,0.73,15.8,13.5,5.6,0.48,0.17,0.65,0.41,0.58,Matches
57,Yuri Berchiche\Yuri-Berchiche,es ESP,DFFW,Athletic Club,28,1990,35,35,3120,2,2,0,0,8,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,1.7,0.04,0.05,0.08,0.04,0.08,Matches
58,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,32,1986,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,27,1990,10,7,585,0,1,0,0,1,0,0,0.15,0.15,0,0.15,0.2,0.2,0.3,0.03,0.04,0.07,0.03,0.07,Matches
60,Alejandro Blanco\Alejandro-Blanco,es ESP,FWMF,Alavés,19,1998,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,23,1995,25,25,2250,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
62,Pablo de Blasis\Pablo-de-Blasis,ar ARG,DFMF,Eibar,30,1988,24,16,1520,2,0,0,0,2,1,0.12,0,0.12,0.12,0.12,1.1,1.1,2.1,0.06,0.12,0.19,0.06,0.19,Matches
63,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FW,Levante,22,1996,16,7,699,1,0,0,0,2,0,0.13,0,0.13,0.13,0.13,1.7,1.7,0.1,0.21,0.01,0.22,0.21,0.22,Matches
64,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FW,Barcelona,31,1987,3,3,239,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.06,0.05,0.11,0.06,0.11,Matches
65,Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,37,1981,5,4,230,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Betis,28,1990,9,6,539,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,1.4,0.1,0.24,0.34,0.1,0.34,Matches
67,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MF,Celta Vigo,28,1990,11,8,717,1,2,0,0,2,1,0.13,0.25,0.38,0.13,0.38,1,1,2.1,0.13,0.26,0.39,0.13,0.39,Matches
68,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Celta Vigo,24,1993,35,25,2085,3,3,0,0,6,0,0.13,0.13,0.26,0.13,0.26,2.8,2.8,3.8,0.12,0.16,0.28,0.12,0.28,Matches
69,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,27,1991,32,32,2861,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Leganés,27,1991,19,16,1402,4,5,0,0,5,0,0.26,0.32,0.58,0.26,0.58,3.6,3.6,1.9,0.23,0.12,0.35,0.23,0.35,Matches
71,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Alavés,26,1992,24,17,1580,0,1,0,0,5,0,0,0.06,0.06,0,0.06,0.5,0.5,0.4,0.03,0.02,0.05,0.03,0.05,Matches
72,Rajko Brežančić\Rajko-Brezancic,rs SRB,DF,Huesca,28,1989,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Bryan\Bryan,es ESP,MFFW,Sevilla,17,2001,11,0,167,1,1,0,0,0,0,0.54,0.54,1.08,0.54,1.08,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0.5,Matches
74,Burgui\Burgui,es ESP,MFFW,Alavés,24,1993,16,5,555,1,0,0,0,1,0,0.16,0,0.16,0.16,0.16,0.9,0.9,0.6,0.15,0.1,0.26,0.15,0.26,Matches
75,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,30,1988,35,30,2715,0,1,0,0,10,0,0,0.03,0.03,0,0.03,0.4,0.4,1.2,0.01,0.04,0.05,0.01,0.05,Matches
76,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,26,1992,25,24,2023,0,1,0,0,11,1,0,0.04,0.04,0,0.04,0.2,0.2,0.6,0.01,0.03,0.03,0.01,0.03,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,23,1995,21,20,1632,2,0,0,0,11,2,0.11,0,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
78,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,32,1985,24,21,1897,0,0,0,0,6,2,0,0,0,0,0,1.3,1.3,0.4,0.06,0.02,0.08,0.06,0.08,Matches
79,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,27,1991,32,31,2794,2,0,0,0,11,1,0.06,0,0.06,0.06,0.06,1.9,1.9,0.4,0.06,0.01,0.08,0.06,0.08,Matches
80,Jordi Calavera\Jordi-Calavera,es ESP,DF,Eibar,22,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Fernando Calero\Fernando-Calero,es ESP,DF,Valladolid,22,1995,36,35,3130,1,0,0,0,7,0,0.03,0,0.03,0.03,0.03,0.6,0.6,0.2,0.02,0.01,0.02,0.02,0.02,Matches
82,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Alavés,24,1993,34,33,2869,9,2,2,2,6,0,0.28,0.06,0.35,0.22,0.28,7.2,5.7,2.1,0.23,0.07,0.29,0.18,0.25,Matches
83,Juanjo Camacho\Juanjo-Camacho,es ESP,MF,Huesca,37,1980,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.2,0.76,0.96,0.2,0.96,Matches
84,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,17,2001,1,0,45,1,0,0,0,0,0,2,0,2,2,2,0.6,0.6,0.1,1.15,0.17,1.32,1.15,1.32,Matches
85,José Campaña\Jose-Campana,es ESP,MF,Levante,25,1993,36,36,3210,4,9,0,0,11,0,0.11,0.25,0.36,0.11,0.36,1.5,1.5,4,0.04,0.11,0.15,0.04,0.15,Matches
86,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,27,1991,32,30,2655,7,2,2,2,5,0,0.24,0.07,0.31,0.17,0.24,6.7,5.2,5.8,0.23,0.2,0.42,0.18,0.37,Matches
87,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,26,1992,25,17,1642,0,0,0,0,9,0,0,0,0,0,0,0.6,0.6,1,0.03,0.05,0.08,0.03,0.08,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Eibar,23,1995,17,6,604,3,1,0,0,1,0,0.45,0.15,0.6,0.45,0.6,2.7,2.7,0.6,0.41,0.1,0.5,0.41,0.5,Matches
89,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,29,1988,24,24,2130,1,1,0,0,10,0,0.04,0.04,0.08,0.04,0.08,0.7,0.7,0.7,0.03,0.03,0.06,0.03,0.06,Matches
90,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,27,1991,32,23,1992,6,1,1,3,5,0,0.27,0.05,0.32,0.23,0.27,8.6,6.3,1.3,0.39,0.06,0.45,0.29,0.35,Matches
91,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,26,1992,24,23,2107,1,2,0,0,10,0,0.04,0.09,0.13,0.04,0.13,0.4,0.4,3.2,0.02,0.14,0.16,0.02,0.16,Matches
92,William Carvalho\William-Carvalho,pt POR,MF,Betis,26,1992,30,26,2385,0,5,0,0,7,0,0,0.19,0.19,0,0.19,0.6,0.6,2,0.02,0.07,0.1,0.02,0.1,Matches
93,Casemiro\Casemiro,br BRA,MF,Real Madrid,26,1992,29,27,2312,3,0,0,0,7,1,0.12,0,0.12,0.12,0.12,1.8,1.8,0.7,0.07,0.03,0.09,0.07,0.09,Matches
94,Santiago Cáseres\Santiago-Caseres,ar ARG,MF,Villarreal,21,1997,23,17,1588,0,1,0,0,10,0,0,0.06,0.06,0,0.06,0.3,0.3,0.9,0.02,0.05,0.07,0.02,0.07,Matches
95,Catena\Catena,es ESP,DF,Rayo Vallecano,23,1994,2,2,176,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03,Matches
96,Santi Cazorla\Santi-Cazorla,es ESP,MFFW,Villarreal,33,1984,35,30,2647,4,10,2,3,2,0,0.14,0.34,0.48,0.07,0.41,4.3,2,6.7,0.15,0.23,0.38,0.07,0.3,Matches
97,Dani Ceballos\Dani-Ceballos,es ESP,MFFW,Real Madrid,21,1996,23,13,1248,3,0,0,0,3,0,0.22,0,0.22,0.22,0.22,2.3,2.3,1.7,0.16,0.12,0.29,0.16,0.29,Matches
98,Charles\Charles,br BRA,FW,Eibar,34,1984,34,17,1739,14,1,6,7,4,0,0.72,0.05,0.78,0.41,0.47,11.6,6.3,1,0.6,0.05,0.65,0.33,0.38,Matches
99,Chechu\Chechu,es ESP,DF,Rayo Vallecano,36,1982,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Chema\Chema,es ESP,DF,Levante,26,1992,19,13,1254,2,0,0,0,7,0,0.14,0,0.14,0.14,0.14,0.6,0.6,0.1,0.04,0.01,0.05,0.04,0.05,Matches
101,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,27,1990,27,19,1706,2,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,3.3,3.3,6.7,0.17,0.36,0.53,0.17,0.53,Matches
102,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Getafe,28,1990,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,FWMF,Villarreal,19,1999,26,19,1706,5,2,0,0,2,0,0.26,0.11,0.37,0.26,0.37,5.2,5.2,1.5,0.28,0.08,0.36,0.28,0.36,Matches
104,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,29,1989,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Coke\Coke,es ESP,DF,Levante,31,1987,27,19,1817,4,0,0,0,5,1,0.2,0,0.2,0.2,0.2,1.2,1.2,1.5,0.06,0.07,0.13,0.06,0.13,Matches
106,Álex Collado\Alex-Collado,es ESP,FW,Barcelona,19,1999,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.13,0,0.13,0.13,0.13,Matches
