,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
107,Santi Comesaña\Santi-Comesana,es ESP,MF,Rayo Vallecano,21,1996,25,23,2032,1,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,0.8,0.8,0.3,0.03,0.01,0.05,0.03,0.05,Matches
108,Duje Čop\Duje-Cop,hr CRO,FW,Valladolid,28,1990,18,6,687,0,0,0,0,2,0,0,0,0,0,0,2.8,2.8,1.2,0.36,0.15,0.52,0.36,0.52,Matches
109,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Valencia,27,1991,26,20,1761,0,1,0,0,5,0,0,0.05,0.05,0,0.05,0.4,0.4,0.7,0.02,0.04,0.06,0.02,0.06,Matches
110,Iñigo Córdoba\Inigo-Cordoba,es ESP,FW,Athletic Club,21,1997,23,15,1321,0,4,0,0,3,0,0,0.27,0.27,0,0.27,1.3,1.3,1.1,0.09,0.07,0.16,0.09,0.16,Matches
111,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,23,1995,36,20,1919,3,2,0,0,7,1,0.14,0.09,0.23,0.14,0.23,2.2,2.2,4.4,0.1,0.21,0.31,0.1,0.31,Matches
112,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,29,1988,16,14,1112,2,2,0,0,4,1,0.16,0.16,0.32,0.16,0.32,1.6,1.6,1.7,0.13,0.14,0.26,0.13,0.26,Matches
113,Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,30,1988,21,18,1495,1,0,0,0,6,0,0.06,0,0.06,0.06,0.06,0.6,0.6,0.8,0.04,0.05,0.09,0.04,0.09,Matches
114,David Costas\David-Costas,es ESP,DF,Celta Vigo,23,1995,15,13,1173,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,Matches
115,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,26,1992,27,27,2430,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Barcelona,26,1992,34,22,2018,5,2,0,0,2,0,0.22,0.09,0.31,0.22,0.31,7.1,7.1,3.5,0.32,0.16,0.47,0.32,0.47,Matches
117,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MFFW,Getafe,24,1993,15,4,450,0,2,0,0,3,0,0,0.4,0.4,0,0.4,0,0,0.5,0,0.09,0.1,0,0.1,Matches
118,Cucho\Cucho,co COL,FW,Huesca,19,1999,34,25,2150,4,3,2,2,6,0,0.17,0.13,0.29,0.08,0.21,10,8.5,2,0.42,0.09,0.5,0.35,0.44,Matches
119,Marc Cucurella\Marc-Cucurella,es ESP,MFFW,Eibar,20,1998,31,26,2354,1,2,0,0,6,0,0.04,0.08,0.11,0.04,0.11,1.8,1.8,3.4,0.07,0.13,0.2,0.07,0.2,Matches
120,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,34,1984,34,34,3055,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Sergi Darder\Sergi-Darder,es ESP,MF,Espanyol,24,1993,34,32,2709,5,2,0,0,8,1,0.17,0.07,0.23,0.17,0.23,3.5,3.5,4.4,0.12,0.15,0.26,0.12,0.26,Matches
122,Moisés Delgado\Moises-Delgado,es ESP,DF,Valladolid,24,1994,3,3,270,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.01,0.06,0.06,0.01,0.06,Matches
123,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWMF,Barcelona,21,1997,29,20,1661,8,5,0,0,1,0,0.43,0.27,0.7,0.43,0.7,3.7,3.7,4.7,0.2,0.26,0.45,0.2,0.45,Matches
124,Franco Di Santo\Franco-Di-Santo,ar ARG,FW,Rayo Vallecano,29,1989,6,1,172,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,21,1996,22,16,1580,2,0,0,0,9,0,0.11,0,0.11,0.11,0.11,1.7,1.7,0,0.1,0,0.1,0.1,0.1,Matches
126,Brahim Díaz\Brahim-Diaz,es ESP,FW,Real Madrid,18,1999,9,5,376,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,0.6,0.6,1.2,0.13,0.28,0.41,0.13,0.41,Matches
127,Javier Díaz\Javier-Diaz,es ESP,GK,Sevilla,21,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Adrián Diéguez\Adrian-Dieguez,es ESP,DF,Huesca,22,1996,9,8,749,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
129,Stole Dimitrievski\Stole-Dimitrievski,mk MKD,GK,Rayo Vallecano,24,1993,21,21,1890,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,32,1986,28,27,2352,1,1,0,0,11,0,0.04,0.04,0.08,0.04,0.08,2.6,2.6,0.7,0.1,0.03,0.13,0.1,0.13,Matches
131,Djené\Djene,tg TOG,DF,Getafe,26,1991,34,34,2976,0,0,0,0,13,2,0,0,0,0,0,0.7,0.7,0.2,0.02,0.01,0.03,0.02,0.03,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,26,1992,24,24,2160,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,27,1990,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,25,1992,9,3,318,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
135,Seydou Doumbia\Seydou-Doumbia,ci CIV,FW,Girona,30,1987,17,5,541,2,0,0,0,2,0,0.33,0,0.33,0.33,0.33,2.8,2.8,0,0.46,0,0.46,0.46,0.46,Matches
136,Óscar Duarte\Oscar-Duarte,cr CRC,DFMF,Espanyol,29,1989,11,7,660,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
137,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,22,1995,33,33,2772,0,0,0,0,10,1,0,0,0,0,0,0.6,0.6,1.4,0.02,0.05,0.07,0.02,0.07,Matches
138,Hugo Duro\Hugo-Duro,es ESP,MFFW,Getafe,18,1999,11,5,417,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.08,0.09,0.17,0.08,0.17,Matches
139,Raphael Dwamena\Raphael-Dwamena,gh GHA,FW,Levante,22,1995,12,1,222,0,1,0,0,0,0,0,0.41,0.41,0,0.41,0.6,0.6,0.7,0.23,0.3,0.53,0.23,0.53,Matches
140,Dennis Eckert\Dennis-Eckert,de GER,FW,Celta Vigo,21,1997,9,1,216,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.28,0.03,0.31,0.28,0.31,Matches
141,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,24,1994,27,24,2254,1,0,0,0,5,0,0.04,0,0.04,0.04,0.04,1.1,1.1,0.6,0.05,0.03,0.07,0.05,0.07,Matches
142,Gorka Elustondo\Gorka-Elustondo,es ESP,MF,Rayo Vallecano,31,1987,5,3,285,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.02,0.07,0.09,0.02,0.09,Matches
143,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,24,1993,5,5,430,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.02,0.01,0.02,Matches
144,Adri Embarba\Adri-Embarba,es ESP,FWMF,Rayo Vallecano,26,1992,36,27,2282,5,6,3,3,5,1,0.2,0.24,0.43,0.08,0.32,6,3.7,6.3,0.24,0.25,0.48,0.15,0.39,Matches
145,Emerson\Emerson,br BRA,DF,Betis,19,1999,6,4,317,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.05,0.09,0.13,0.05,0.13,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,21,1997,31,22,2106,9,2,0,0,7,0,0.38,0.09,0.47,0.38,0.47,7.3,7.3,1.2,0.31,0.05,0.36,0.31,0.36,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,28,1990,35,30,2582,7,4,0,0,4,0,0.24,0.14,0.38,0.24,0.38,9.8,9.8,3.6,0.34,0.13,0.47,0.34,0.47,Matches
148,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,28,1990,13,9,631,0,0,0,0,2,0,0,0,0,0,0,0.9,0.9,0.8,0.13,0.12,0.25,0.13,0.25,Matches
149,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,25,1993,32,18,1789,4,1,0,0,6,0,0.2,0.05,0.25,0.2,0.25,2.1,2.1,1,0.11,0.05,0.15,0.11,0.15,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,28,1989,21,18,1545,0,1,0,0,8,1,0,0.06,0.06,0,0.06,1.2,1.2,1.1,0.07,0.07,0.14,0.07,0.14,Matches
151,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Girona,29,1989,31,31,2727,1,1,0,0,6,2,0.03,0.03,0.07,0.03,0.07,1.4,1.4,0.9,0.05,0.03,0.07,0.05,0.07,Matches
152,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,31,1987,27,25,2031,1,2,0,0,8,0,0.04,0.09,0.13,0.04,0.13,0.5,0.5,2.4,0.02,0.11,0.13,0.02,0.13,Matches
153,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Huesca,30,1987,31,30,2677,4,0,0,0,10,0,0.13,0,0.13,0.13,0.13,2.3,2.3,0.2,0.08,0.01,0.08,0.08,0.08,Matches
154,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,29,1989,21,19,1702,1,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11,1.6,1.6,0.4,0.08,0.02,0.1,0.08,0.1,Matches
155,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,27,1991,16,16,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,31,1986,6,6,540,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Borja Fernández\Borja-Fernandez,es ESP,MFDF,Valladolid,37,1981,19,10,841,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
158,Joaquín Fernández\Joaquin-Fernandez,es ESP,DFMF,Valladolid,22,1996,13,9,839,1,0,0,0,2,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0,0.05,0,0.05,0.05,0.05,Matches
159,David Ferreiro\David-Ferreiro,es ESP,FWMF,Huesca,30,1988,35,23,2280,1,3,0,0,5,0,0.04,0.12,0.16,0.04,0.16,2.7,2.7,4.5,0.11,0.18,0.29,0.11,0.29,Matches
160,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FWMF,Espanyol,27,1991,9,1,211,1,0,0,0,2,0,0.43,0,0.43,0.43,0.43,0.3,0.3,0,0.14,0,0.14,0.14,0.14,Matches
161,Junior Firpo\Junior-Firpo,es ESP,DFMF,Betis,21,1996,24,22,1937,3,4,0,0,7,0,0.14,0.19,0.33,0.14,0.33,2.1,2.1,2.2,0.1,0.1,0.2,0.1,0.2,Matches
162,Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Getafe,34,1984,10,4,453,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
163,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,Villarreal,22,1996,35,28,2479,2,3,0,0,4,0,0.07,0.11,0.18,0.07,0.18,4.3,4.3,4.8,0.16,0.17,0.33,0.16,0.33,Matches
164,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFFW,Getafe,25,1993,25,23,1799,3,2,0,0,7,0,0.15,0.1,0.25,0.15,0.25,1.1,1.1,1.7,0.06,0.09,0.14,0.06,0.14,Matches
165,Javi Fuego\Javi-Fuego,es ESP,MF,Villarreal,34,1984,5,3,233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DFMF,Villarreal,27,1991,31,29,2627,2,1,0,0,15,0,0.07,0.03,0.1,0.07,0.1,2.1,2.1,0.5,0.07,0.02,0.09,0.07,0.09,Matches
167,Javi Galán\Javi-Galan,es ESP,DFMF,Huesca,23,1994,16,16,1440,0,2,0,0,7,0,0,0.12,0.12,0,0.12,0.1,0.1,1.8,0,0.12,0.12,0,0.12,Matches
168,Álex Gallar\Alex-Gallar,es ESP,MFFW,Huesca,26,1992,25,10,1009,4,1,1,1,2,0,0.36,0.09,0.45,0.27,0.36,3.5,2.7,2.5,0.31,0.22,0.53,0.24,0.46,Matches
169,Enric Gallego\Enric-Gallego,es ESP,FW,Huesca,31,1986,19,17,1539,5,1,0,0,4,0,0.29,0.06,0.35,0.29,0.35,3.6,3.6,1.7,0.21,0.1,0.31,0.21,0.31,Matches
170,Álex Gálvez\Alex-Galvez,es ESP,DF,Rayo Vallecano,29,1989,17,17,1412,1,0,0,0,6,0,0.06,0,0.06,0.06,0.06,1.1,1.1,0.2,0.07,0.01,0.08,0.07,0.08,Matches
171,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,31,1987,33,16,1612,6,1,0,0,1,0,0.33,0.06,0.39,0.33,0.39,7.4,7.4,3.1,0.41,0.17,0.58,0.41,0.58,Matches
172,Cristian Ganea\Cristian-Ganea,ro ROU,MF,Athletic Club,26,1992,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,31,1986,24,24,2136,2,0,0,0,4,0,0.08,0,0.08,0.08,0.08,1.5,1.5,0.4,0.06,0.02,0.08,0.06,0.08,Matches
174,Borja Garcés\Borja-Garces,es ESP,FWMF,Atlético Madrid,18,1999,1,0,20,1,0,0,0,0,0,4.5,0,4.5,4.5,4.5,0.2,0.2,0,1.09,0,1.09,1.09,1.09,Matches
175,Alberto García\Alberto-Garcia,es ESP,GK,Rayo Vallecano,33,1985,17,17,1530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Aleix García\Aleix-Garcia,es ESP,MF,Girona,21,1997,31,20,1663,2,1,0,0,1,0,0.11,0.05,0.16,0.11,0.16,1.5,1.5,1.3,0.08,0.07,0.15,0.08,0.15,Matches
177,Álvaro García\Alvaro-Garcia,es ESP,FWMF,Rayo Vallecano,25,1992,35,17,1766,4,2,0,0,3,0,0.2,0.1,0.31,0.2,0.31,4,4,1.6,0.2,0.08,0.28,0.2,0.28,Matches
178,Borja García\Borja-Garcia,es ESP,FWMF,Girona,27,1990,33,30,2629,1,3,0,0,0,1,0.03,0.1,0.14,0.03,0.14,1.8,1.8,4.2,0.06,0.14,0.21,0.06,0.21,Matches
179,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,28,1990,29,29,2476,0,1,0,0,13,0,0,0.04,0.04,0,0.04,0,0,0.2,0,0.01,0.01,0,0.01,Matches
180,Javi García\Javi-Garcia,es ESP,DFMF,Betis,31,1987,13,6,524,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Manu García\Manu-Garcia,es ESP,MF,Alavés,32,1986,34,25,2330,2,1,0,0,6,0,0.08,0.04,0.12,0.08,0.12,2.1,2.1,0.7,0.08,0.03,0.11,0.08,0.11,Matches
182,Raúl García\Raul-Garcia,es ESP,DF,Girona,29,1989,10,10,850,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0.2,0.2,0.5,0.02,0.05,0.07,0.02,0.07,Matches
183,Raúl García\Raul-Garcia,es ESP,MFFW,Athletic Club,32,1986,33,27,2369,9,3,2,4,12,0,0.34,0.11,0.46,0.27,0.38,8.1,4.9,2.7,0.31,0.1,0.41,0.19,0.29,Matches
184,Raúl García\Raul-Garcia,es ESP,DF,Leganés,29,1989,5,4,381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
185,Sergio García\Sergio-Garcia,es ESP,FWMF,Espanyol,35,1983,29,17,1486,2,1,0,0,3,0,0.12,0.06,0.18,0.12,0.18,4.1,4.1,2.7,0.25,0.16,0.42,0.25,0.42,Matches
186,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,27,1990,31,30,2599,1,2,0,0,17,1,0.03,0.07,0.1,0.03,0.1,1.6,1.6,3,0.05,0.1,0.16,0.05,0.16,Matches
187,Joris Gnagnon\Joris-Gnagnon,fr FRA,DFMF,Sevilla,21,1997,7,4,446,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
188,Diego Godín\Diego-Godin,uy URU,DF,Atlético Madrid,32,1986,30,28,2509,3,1,0,0,6,0,0.11,0.04,0.14,0.11,0.14,3.1,3.1,0.1,0.11,0,0.11,0.11,0.11,Matches
189,Ibai Gómez\Ibai-Gomez,es ESP,FW,Athletic Club,28,1989,14,6,580,0,2,0,0,0,0,0,0.31,0.31,0,0.31,0.4,0.4,1.1,0.07,0.17,0.24,0.07,0.24,Matches
190,Ibai Gómez\Ibai-Gomez,es ESP,MFFW,Alavés,28,1989,18,17,1449,3,2,0,1,0,0,0.19,0.12,0.31,0.19,0.31,3.5,2.7,1.8,0.22,0.11,0.33,0.17,0.28,Matches
191,Maxi Gómez\Maxi-Gomez,uy URU,FW,Celta Vigo,21,1996,35,33,2960,13,5,1,1,6,1,0.4,0.15,0.55,0.36,0.52,11,10.3,3,0.34,0.09,0.43,0.31,0.41,Matches
192,Moi Gómez\Moi-Gomez,es ESP,MF,Huesca,24,1994,36,35,3055,2,7,0,0,3,0,0.06,0.21,0.27,0.06,0.27,1.8,1.8,3.6,0.05,0.11,0.16,0.05,0.16,Matches
193,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,26,1992,32,31,2765,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.6,0.02,0.02,0.04,0.02,0.04,Matches
194,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Sevilla,29,1989,10,5,540,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
195,Álvaro González\Alvaro-Gonzalez,es ESP,DF,Villarreal,28,1990,33,33,2964,1,2,0,0,17,2,0.03,0.06,0.09,0.03,0.09,1,1,0.4,0.03,0.01,0.04,0.03,0.04,Matches
196,Bruno González\Bruno-Gonzalez,es ESP,DF,Getafe,28,1990,23,18,1701,0,1,0,0,7,1,0,0.05,0.05,0,0.05,0.5,0.5,0.2,0.03,0.01,0.04,0.03,0.04,Matches
197,Cristo González\Cristo-Gonzalez,es ESP,FW,Real Madrid,20,1997,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Matches
198,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,21,1996,7,6,455,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.02,0.1,0.12,0.02,0.12,Matches
199,Álex Granell\Alex-Granell,es ESP,MFDF,Girona,29,1988,32,26,2391,0,4,0,0,5,0,0,0.15,0.15,0,0.15,1.1,1.1,4.9,0.04,0.18,0.23,0.04,0.23,Matches
200,Esteban Granero\Esteban-Granero,es ESP,MF,Espanyol,31,1987,28,24,2013,3,1,0,0,11,0,0.13,0.04,0.18,0.13,0.18,2,2,1.2,0.09,0.05,0.14,0.09,0.14,Matches
201,Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,Atlético Madrid,27,1991,37,37,3198,15,8,3,3,5,0,0.42,0.23,0.65,0.34,0.56,13.6,11.4,6.8,0.38,0.19,0.57,0.32,0.51,Matches
202,Andrés Guardado\Andres-Guardado,mx MEX,MFDF,Betis,31,1986,31,27,2335,0,4,0,0,8,0,0,0.15,0.15,0,0.15,1.5,1.5,4.2,0.06,0.16,0.22,0.06,0.22,Matches
203,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,27,1991,17,17,1514,3,1,0,1,0,0,0.18,0.06,0.24,0.18,0.24,4.6,3.8,1.6,0.29,0.1,0.39,0.24,0.34,Matches
204,Sergi Guardiola\Sergi-Guardiola,es ESP,MFFW,Getafe,27,1991,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.19,0,0.19,0.19,0.19,Matches
205,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,21,1996,25,18,1465,5,3,0,0,2,0,0.31,0.18,0.49,0.31,0.49,2.1,2.1,3.8,0.13,0.23,0.36,0.13,0.36,Matches
206,Javi Guerra\Javi-Guerra,es ESP,FWMF,Rayo Vallecano,36,1982,8,1,236,0,1,0,0,0,0,0,0.38,0.38,0,0.38,0.5,0.5,0.5,0.19,0.17,0.36,0.19,0.36,Matches
207,Francis Guerrero\Francis-Guerrero,es ESP,DFMF,Betis,22,1996,22,22,1778,0,1,0,0,2,0,0,0.05,0.05,0,0.05,0.4,0.4,2,0.02,0.1,0.12,0.02,0.12,Matches
208,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,21,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.06,0.05,0.11,0.06,0.11,Matches
209,John Guidetti\John-Guidetti,se SWE,FW,Alavés,26,1992,22,6,631,2,1,0,0,2,0,0.29,0.14,0.43,0.29,0.43,1.8,1.8,0.6,0.26,0.09,0.35,0.26,0.35,Matches
210,Gerard Gumbau\Gerard-Gumbau,es ESP,MF,Leganés,23,1994,16,13,1199,1,1,1,1,6,1,0.08,0.08,0.15,0,0.08,1.6,0.9,0.4,0.12,0.03,0.15,0.06,0.1,Matches
211,Serdar Gürler\Serdar-Gurler,tr TUR,FWMF,Huesca,26,1991,13,5,482,0,1,0,0,2,0,0,0.19,0.19,0,0.19,0.3,0.3,0.3,0.05,0.06,0.11,0.05,0.11,Matches
212,Gorka Guruzeta\Gorka-Guruzeta,es ESP,FWMF,Athletic Club,21,1996,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.09,0.19,0.1,0.19,Matches
213,Hacen\Hacen,mr MTN,FW,Valladolid,20,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
